a 	in.ar 	ሓዶ	አንድ
plate 	v	ኣዘዚኹ፣ ኣሊኹ	ነከረ (በቀለም)	
plate 	n	ምሣሕ፣ ስእሊ፣ ቆርቆሮ፣ ሻሓነ	ምሣ፣ ስዕል፣ ቆርቆሮ ሳህን	
plateau 	n	ሜዳ ደጉዓ ዓዲ	የደጋ አገር ሜዳ	
plared 	adj	ዝተቐብአ፣ዝተሓበፀ	ቅብ	
plat form 	n	መመምሪሒ፣ መድረኽ	መምሪያ፣ መድረክ	
platoon 	n	ሓለቃ ሚኢቲ ዝኣዞ ክፈሊጦር	የመቶ አለቃ የሚያዘው የጦር ክፍል	
platter 	n	ዝርጉህ ሻሓነ	ዝርግ ሰሀን	
plausible	adj	ዘአምን ነገር	አሠሣማኝ ነገር	
play 	vi	ተራኢዩ፣ ተፃዊቱ	ታየ፣ ተጫወተ	
play around 	v	ባፅሊጉ	ማገጠ	
paly at 	v	ቀሊዱ፣ ኣባጭዩ	ቀለደ	
play down 	v	ንእሽተይ ግምት ሂቡ	አነስተኛ ግምት ሠጠ	
play for time 		ጊዜ ንምርካብ	ጊዜ ለማግኘት	
play off 	v	ኣጋጪዩ	አጋጨ	
paly out 	v	ወዲኡ፣ ዛዚሙ	ጨረሠ	
play 	n	ቲትር፣ ቀልዲ፣ ፀዋታ፣ ባጭ	ቲያትር፣ ቀልድ፣ ጨዋታ	
player 	n	ተፃዋቲ	ተጫዋች	
play ground (n)		መፃወቲ ቦታ	የመጫወቻ ስፍራ	
playing card 	n	መፃወቲ ካርታ	የመጫወቻ ካርታ	
playmate 	n	ዐዓርኪ፣ መሓዛ	ጓደኛ	
plaything 	n	መፃወቲ	መጫወቻ	
palwright 	n	ቲያትር ደራሲ	የትያትር ደራሲ	
plea 	n	ምኽንያት፣ ምልማን፣ ምጥያቕ፣ ሕቶ	ምክንያት፣ መልና፣ ጥያቄ	
pelad 	v	ምኽንያትሂቡ፣ ተሟጊቱ	ምክንያት ሠጠ፣ አቤቱታ አቀሰረበ፣ ተሟገተ	
pleasantry 	n	ናይ ቀልዲ ኣዘራረባ	የቀልድ አነጋገር	
please 	vt	ኣሐጉስ፣ ሕጉስ አቢሉ	አስደሰተ፣ ደስ አሠኘ	
pleasure 	n	ሓጎሰ፣ ምሕጓስ	መለልካም ደስታ፣ መደሠት	
pleat 	v	ሸንሺኑ	ሸነሸነ	
pledge 	n	መረጋገፂ፣ ቃል ምእታው	ማረጋፈጫ፣ ማስታወሻ፣ ቃል መግባት 	
plenary 	adj	ሙሉእ	ሙሉ	
plenipotentiary 	n	በዓም ሙሊእ ስልጣን	ባለ ሙሉ ሥልጣን	
pentide 	n	ብዝሓት	ብዛት	
plenty 	n	ብዙሕ፣ ብርኩት	ብዙ፣ በርካታ	
pleurisy 	n	ሕማም ሳምባ	የሠሣንባ በሽታ	
pleable 	adj	ክተዓፃዐፍ ዝኽእል	ሊተታተፍ የሚችል	
pliant 	adj	ተወዛወዚ፤ መሲሉ ሓዳሪ 	ተወዛዋዥ፣ ተለማጭ፣ መስሎ አዳሪ	
pliers 	n	ጉጠት	ጉጠት	
plight 	v	ንሓደር ተስፋ ምሃብ	የጋብቻ ተሰስፋ መስጠት	
plinsolls 	n	ናይ ላስቲክ ሶል ዘለዎ፣ ናይ ስፖርት ሣእኒ	የላስቲክ ሶል ያለው፣ የስፖርት ጫማ	
plod,plod along 	v	ደጋጊሙ ጎትትበለ	ለገመ፣ አዘገመ	
plod away 	v	ደጋጊሙ ኣፅኒዑ	ደጋግሞ አጠና	
piot 	n	ቁራፅ፣ አድማ	ቁራጭ፣ አድማ	
plow (plough)	n	መሐሕሊሲ፣ ማሕረሻ	ማረሻ	
puck	v	ቀጢፉ፣ ቦቂሱ፣ ነፃዩ	ቀጠፈ፣ ነቀለ፣ ነጨ	
plug 	n	ለመክዒ ኮረንቲ	የኮረንቲ መለኪያ ውታፍ	
plumage 	n	ከክንቲት ዑፍ/ዒፍ	የወፍ ላባ	
piumb 	n	ቱምቢ	ቱምቢ	
plumber 	n	ሰራህተኛ ቧንቧ	የቧቧ ሠራተኛ	
plumbing 	n	ስራሕ ቧንቧ	የቧንቧ ሥራ	
plum 	n	ካብ ክንቲት ዝተሠርሃ ገይፂ	ከላባ የተሠራ ጌት፣ ላባ	
plummet 	n	ቱንቢ	ቱንቢ	
plump down 	vt	ደብርዩ፣ ደርብዩ	እንዘጭ አደረገ	
plump 	adj	ረጉድ፣ ወደል	የፈፋፋ፣ ወደል	
plunder 	v	ዘሪፉ	ዘረፈ	
plunder 	n	ዘረፋ	ዘረፋ	
plunge 	vt	ሰስኩዑ፣ ኣቲዩ፣ ጥልቕኢሉ	ዘሎ ገባ፣ ጥልቅ አለ	
pulunge into 		ተተሓሒዙ	ተያያዘ	
plunge through		ሰንጠቑ ሓሪሙ	ሠንጥቆ አለፈ	
plunk 	vt	ወቕዑ፣ ሃሪሙ	መታ	
plunk 	vi	ቦጭረቅ ኢሉ	ቦርጨቅ አለ	
plural 	adj	ብዙሕ ቁፅሪ	የብዙ ቁጥር	
plurality 	n	ብልጫ	ብልጫ	
plus 	prep	ካብ--ካሊእ	ከሌላ---ሌላ፣ ከ---ጋር፣ ሲደመር	
plush 	adj	ዝሓንቀቐ	የተቀማጠለ፣ ከፋይ (ልብስ)	
ply 	v	ብ ---- ተተቒሙ፣ ሰሪሑ	በ --- ተጠቀመ፣ ሠራ፣ ቀዘፈ	
ply 	n	ዕፅፊ ዘለዎ	አጥፍ ውፍረት ያለው	
penumonia 	n	ሕማምሳምባ	የሣምባ ምች	
poach 	v	ውስጥ ኣቢሉ፣ ሰሪቁ ወሲዳ፣ አባጀብኡ ገይሩ	ዋጥ አደረገ፣ ሰርቆ ወሠደ፣ ከኪሱ አደረገ	
pocket 	v	ጁባ	ኪሰ	
pocket book 	n	ቦርሳ	ቦርሣ	
pocket knife 	n	ሰንጢ	ሠንጢ	
pod 	n	ዝተፈልፈልለ	የተፈለፈለ	
podgy 	adj	ሓፂርን ረጉድን	ድፍንዳፍ፣ አጫርና ወፍራም	
podium 	n	መድረኽ	መደድረክ 	
poem 	n	ግጥሚ	ግትም	
poet 	n	በዓሚ ቕኔ	ባለቅኔ	
poetic 	adj	ብግጥሚ ዝተፅሓፈ ቕንያት	በግጥም የተፃፈ፣ ቅኔያዊ	
poetry 	n	ቕኔ፣ ግጥሚ፣ ስምዒት	ቅኔ፣ ግጥም ፣ስሜት	
point 	vi	ኣመልኪቱ፣ ደጊኑ	አመለከተ፣ደገነ	
point at 	v	ኣርእዩ	አሣየ	
opint out 	v	አዲኡ፣ አመልኪቱ ኣርኢዩ	አስገነዘበ፣ አመለከተ፣ አሣየ	
point 	n	ኩነታት፣ ጫነ፣ ቦታ፣ብርኪ፣ ነጥብ	ሁኔታ፣ ጫፍ፣ ቦታ፣ ደረጃ ነጥብ	
point blank 	adv	ብቕትታ	በቀጥታ	
pointed 	adj	ዝተደገነ፣ ዝበልሐ፣ ቀትዝበለ	የተደገነ፣ የሾለ፣ ቀጥ ያለ 	
pointer 	n	ምክሪ፣ መጠቂሚ	ምክር፣ መጠቆሚያ	
pointless 	adj	ፍረ ዘይብሉ፣ ዝጎተመ	ፍሬ ቢስ፣ የደለዶመ	
point of order		ስነስርዓት ይከበር	ሥነ ሥርዓት ይከበር	
point of view 		ሓሳብ ፣ ርኢቶ	ሐሳብ፣ አሥተያየት	
opise 	v	ጠጠው ኢሉ	ቆመ	
poise 	n	ናይ ምርጋእ መንፈስ	የእርጋታ መንፈስ	
poison 	v	ፅልኢ ኣሕዲሩ፣ መሪዙ	ጥላቻ አሣደረ፣ መረዘ	
poison 	n	መርዚ	መርዝ	
poke 	v	ደፊኡ፣ ወጊኡ	ጎሸመ፣ ወጋጋ	
poke ar 	v	ነኻኺኡ	ነካካ	
poke fun 	v	አኣባጫዩ	አሾፈ	
poker (a) hole in		ነዳዱ	ነደደ	
poker (n)		መቖስቖሲ ሓዊ ሓፂን	የእሣት መቆስቀሻ ብረት	
pole 	n	ናይ ምድሪ ዋልታ፣ ፅንዐይቲ፣ ዓምዲ	የምድርዋልታ፣ እንጨት፣ አጣና፣ ምሰሶ	
polemics 	n	ከክርክር፣ ክትዕ	ክርክር	
police 	v	ተቆፃፂሩ	ተቆጣጠረ	
police 	n	ፖሊሳት፣ ፖሊስ	ፖሊሶች፣ ፖሊስ	
police man 	n	ፖሊስ	ፖሊስ	
police station 	n	ጠጣቢያ ፖሊሰ	ፖሊስ ጣቢያ	
policy 	n	ቋሚ መምረሒ፣ ዓላማ፣ አመራርሓ	ቋሚ መመሪያ፣ ዓላማ፣ አመራር	
polish 	v	ኣመሓይሹ፣ ፀሪጉ፣ ወልዊሉ	አሻሻለ፣ ጠረገ፣ ወለወለ	
polite 	n	ጨዋ፣ ትሑት	ጨዋ፣ ትሁት	
political	adj	ናይ ፖለቲካ	የፖለቲካ	
politician 	n	ፖለቲካኛ	ፖለቲከኛ	
politics 	n	ፖለቲካ፣ ናይ ፖለቲካ ኣረኣአያ	ፖለቲካ ፣ የፖለቲካ አስተሣሠብ 	
poll 	v	ለረኺቡ፣ አረኣኣያ ጠቑ	አገነ፣ አሥያየት ጠየቀ	
pollen 	n	ድምፂ ኣረአእያ ሓቲቱ ኣወሃህባ፣ ናይ መረፃ ጣቢያ	የድምፅ አሠጣጥ፣ የምርጫ ጣቢያ	
polling booth 	n	ናይ ዕምባባ ሕሩጭ	የአበባ ዱቄት	
pollution 	n	ኣርኪሱ፣ በኪሉ	አረከሠ፣ በከለ	
pollution 	n	ምብካል፣ ምብልሻው	መበከል፣ መበላሸት	
polygamy 	n	ካብ ሓደ ሰቤቲ ንላዕሊ ምአታው	ከአንድ ሚሥት በላይ ማግባት	
poly glot 	adj	ብዙሕ ቋንቋ ምዝራብ ዝኽእል	ብዙ ቋንቋ ለመናገር የሚችል	
polythe ism 	n	ብብዙሓት ኣማልኽቲ ምምላኽ	በብዙ አማልክት ማምለክ 	
pomegrante 	n	ረሮማን (ፍረ)	ሮማን (ፍሬ)	
pommel 	v	ብጉሲጢትወቂዑ	በቡጢ መታ	
pomp 	n	ዝደመቐ ስነ ስርዓት	የደመቀ ሥነ ሥርዓት	
pompous (adj)		ጉረኛ	ጉረኛ	
poud 	n	ኩረ	ኩሬ	
ponder	v	ኣዐረዩ ሓሲቡ	አወጣ አወረደ (ሃሳብ)	
ponder over 	v	ኣስሊሑ፣ ሓሲቡ	አሠላሠለ	
ponderous (adj)		ዘድክም፣ ገዚፍ	የሚያሠለች፣ ግዙፍ	
pontoon 	n	ኣብጀልባ ጠጠው ኢሉ ዝንሣፈፍ ድልድል	በጀልባ ላይ የቆመ ተንሳፋፊ ድልድይ	
pony 	n	ሓፂር ገረስ	ድንክ ፈረስ	
pool 	v	ኣዋፂኡ፣ ብሓደ ኣዋሒዱ	አወዋጣ፣ በአንድ አዋሀደ	
poor 	adj	ምሲኪን፣ ችግር ዝበዝሐ፣ ድኻ፣ ንዑስ፣ ሕማቕ	ምስኪን፣ እግር የበዛበት፣ ድሀ አነሥተኛ፣ መጥፎ	
poorly 	adj	ሕማቕ፣ ከምነገሩ	መጥፎ፣ አንደነገሩ	
pop 	vt	ቅልቅል ኣቢሉ፣ ኣውፂኡ	ብቅ አደረገ	
pop	vi	ፈነጂሩ፣ ፈጠጡ	ፈነዳ፣ ፈጠጠ	
pop out 	v	ሱሊኽ ኢሉ፣ ወፂ፣ ፍጥጥ አሉ	ፈትለክ ብሎ ወጣ፣ ፍጥጥ አለ	
pop up 	v	ብድንገት ቅልቅል አሉ	ፈትለክ ብሎ ወጣ፣ ፍጥጥ አለ	
pop corn 	n	ፅምበባ ቆሎ ፅፋን፣ ፈንደሻ	የቦቆሎ ቆሎ፣ ፈንዲሻ 	
pope 	n	ሊቀጳጳሽ	ሊቀ ጳጳስ	
populace 	n	ህዝቢ	ሕዝብ	
popular 	adj	ህዝባዊ፣ ዝተዘርግሐ ተፈታዊ፣ ዘመናዊ	የሀህዝብ፣ የተዛመተ፣ ለተራ ሠው ሊገባ ሚችል ተወዳጅ፣ ዘመናዊ	
popularity 	n	ተፈታውነት	ተወዳጅነት	
popularize 	vt	ንህዝቢ ምፍላጥ	ለሕዝብ ማሥተዋወቅ	
populate 	v	በብብዝሓት ዝሰፈር	በብዛት ሠፈረ	
population 	n	ናይህዝቢ ብዝሓት፣ ህዝቢ፣ ብህዝቢ ምምላእ	የህዝብ ብዛት፣ ህዝብ፣ በህዝብ መሞላት	
populous 	adj	በዝሒ ህዝቢ ዘለዎ	በህዝብ የተጨናነቀ	
porcelain 	n	ስራሕ ሽክላ	የሸክላ ሥራ	
porch 	n	በረንዳ፣ ገበላ	በረንዳ፣ ታዛ	
porcupine 	n	ቅንፊዝ	ጃርት	
pore (over)	n	ኣትኩርካ ምርኣይ፣ ተመሲጥካ ምንባብ	ኣትኩሮ ማየት በተመስጦ ማንበብ	
pore 	n	ናይቑርበት ነኳል	የቆዳ ቀዳዳ	
pork 	n	ናይ ሓሣማ ሥጋ	የአሣማ ሥጋ	
porous 	adj	ማይ ዘሕልፍ	ውሀ የሚያሳልፍ	
porridge 	n	ገዓት	ገንፎ	
port 	n	ወደብ	ወደብ	
portable 	adj	ቐሊል፣ ንእሽቴ፣ናይ ኢድ	ቀላል፣ ትንሹ፣ የእጅ 	
portal 	n	ዓቢይ ኣፍ ደገ	ትልቅ በር	
portent 	n	ምልክት	ምልክት	
porter 	n	ተሸካሚ፣ ረፏዕ	ነረኛመ ተሸካሚ፣ ኩሊ	
port folio 	n	ቦርሳ፣ ሳንጣ	ቦራሳ	
portion 	v	ኣካፋፊሉ	አከፋፈለ	
portion 	n	ብጥኺጽ	ድርሳ፣ከፈል	
PORTLY 	ADJ	ረጊድ	ወፍራም	
portait 	n	ናይሰብ ስእሊ፣ ስእሊ	የሠው ሥዕል፣ ሥዕል	
portray 	v	…. ካም ….. ኮይኑ ሰሪሑ፣ ሰኢሉ፣ ገሊፁ	እንደ …. ሆኖ ሠራ ሳለ፣ ገለፀ	
portrayal 	n	ምርኣይ	ማሣየት	
pose 	vt	ኣቐሚቱ፣ ፈጢሩ	አስቀመተ፣ ፈጠረ	
pose 	n	ከኩነት፣ ምሕሳው፣ ንቓል ዓለም	ሁኔታ፣ መዋሸት፣ ለይሙስላ	
position 	n	ብርኪ፣ ቦታ፣ ሥራህ፣ ስልጣን	አከኳኋን፣ ረጃ፣ ቦታ፣ ሥራ፣ ሥልጣን፣ አቋም	
positive 	adj	ቁርፅ ዝበለ፣ ተቓሚ	ቁርጥ ያለ፣ እርግተኛ፣ ጠቃሚ፣ መልካም	
possess 	v	ሒዙ፣ አለዎ፣ ወሪሩ	ያለ፣ አለ (ው)፣ ወረ	
possessed 	adj	ዝተለኽፈ	የተለከፈ	
possession 	n	ገግዝኣት፣ ኣብኢዱ ምግባር፣ ንብረት	ገግዛት፣ በእጅ ማድረግ፣ ንብረት	
possessive 	adj	ኩሉ ዝቆፃፀር	ሁሉን የሚቆጣጠር	
possessive pronoun		ኣጋናዛቢ፣ ክንዲ ስም	አገነናዘቢ ተውላጠ ሥም	
possibility 	n	መተፃ፣ዝከኣል፣ መንገዲ (መማረፂ)	ምርጫ ፣የሚቻል፣ መንገድ (አማራጭ)	
possible 	adj	ክስማዕማፅ ዝኽእል፣ ክብፀሖ ዝከኣል	ለሊስማማ የሚእል፣ ሊደረሥበት የሚችል	
possibly 	adv	ምናልባት	ምናልባት	
post 	v	ለጢፉ፣ ጠጠው አቃቢሉ፣ ፖስታ ቤት ኣእትዩ	ለጠፈ፣ አቆመ፣ መደበ ፖስታ ቡት አገባ	
post 	n	ዘዝተመደበሉ ቦታ፣ ዓምዲ ቦታ ፣ፖስታ	የተመደበበት ቦታ፣ ልሰሶ፣ ሥፍራ ፖስታ	
postage 	n	ቴምብር	ቴምብር	
poster 	n	ስዕላዊ መግለፂ	ሥዕላዊ መግለጫ	
posterior 	adj	ሃሕረዋ	የኋለኛ	
posthumously 	adv	ደድሕሪ ምሟቱ	ከሞተ በኋላ	
postman 	n	መመላለሲ ፖስታ	ፖስታ አመላላሽ	
postmark 	n	ይና ፖስታ ቤት ማህተም	የፖስታ ቤት ማህተም 	
postmortem 	n	አኣስክሬን ምርመራ	የአስከሬን ምርመራ	
post office 	n	ፖስታቤት	ፖስታ ቤት	
post office box 	n	ፖሰታ ሳዑን ቁፅሪ፣ ናይ ፖስታ ሳዑን	የፖስታ ሣጥን ቁጥር የፖስታ ሣጥን	
postpone 	n	ኣታሓላሊፉ	አስተላለፈ	
post script 	n	ኣብ እግር ደብዳቤ ዝውሰኽ	ከደብዳቤ ግርጌ የሚጨመር	
postulate 	v	አመልኪቱ	አመለከተ	
postulate 	n	መሠረተ ነገር	መሠረት ነገር	
posture 	n	ኩነታት	ሁኔታ	
posy 	n	ሕቑፊ ዕምባባ	ያበባእቅፍ	
pot 	n	ዕትሮ፣ ሸክላ	ማሠሮ፣ ሸክላ	
pot black 	n	ጥላሸት፣ ዐለሎ	ጭላት	
potable 	adj	ንመስተ ዝኌን	ለመጠጥ የሚሆን	
potato 	n	ደድንሽ	ድንች	
potent 	adj	ዘተኣምምን፣ሓያል	የሚያስተማምን፣ ሀያል	
potentate 	n	ገዛኢ (ኣማሓዳሪ)	ገዢ (እስተዳዳሪ)	
potential 	n	አብውሽጢ ዘሎ ዓቕሚ	በውስጥ ያለ አቅም፣ አቅም ሀይል	
potential 	adj	ንቕድሚት	ወደፊት	
potentiality 	adv	ከክበፅሕ ዝኽአል ነገር	ሊደርሥ የሚችል ነገር	
potion 	n	መድሓኒት 	መድሀኒት	
potsherd 	n	ስብርባሪ ሸክላ	የሸክላ ሥብርባሪ	
potter 	v	ናብዚ ናብቱይ ምባል	ወዲያ ወዲህ ማለት	
pottery 	n	ሥራህ ሸክላ፣ ሸክላ	የሸክላ ሥራ፣ ሸክላ	
pouch 	n	ከረጢት	ከረጢት	
poultice 	n	ኣብ ቁስሊ ዝግበር ብንጣጢፅ ዘእለኽ	በቁስል ላይ የሚደረግ በተልባ የተነከረ  የተቀቀለ ጨርቅ	
poultry 	n	ንደርሆን፣ እንቁላሊህን፣ ሥጋን ዝራብሓ አፅዋፍ	የሥጋ የሚሆኑ ለማዳ ወፎች	
pounce 	v	ሃንደበት ምሓዝ	ድንገት መያዝ	
pound 	vt	መቒቱ፣------ ቀጥቂጡ	ወቀጠ፣ ሸከሸከ፣ ደበደበ	
pour 	vi	ገልቢጡ፣ አስትዩ፣ ቀዲሑ፣ ወሲኹ	ገለበጠ፣ አጣጣ፣ቀዳ ጨመረ	
pour 	vi	ሓያል ዝናብ መቒዑ፣ ፈሲሱ	ዶፍ ወረደ፣ ፈሠሠ	
pour 	v	ከንፈሩ ደብርዩ	ለመምቦጩን ጣለ	
poverty 	n	ድኽነት	ድህነት	
powder 	v	ባሩድ፣ ሕሩጭ፣ ደማሚት	ባሩድ፣ ዱቄት፣ ድማሚት	
power	n	ክእለት፣ኮረንቲ፣ ሓይሊ ሥልጣን	ችሎታ፣ ኮረንቲ፣ ሀይል፣ ሥልጣን	
powerful 	adj	ሓያል	ጉልህ፣ ሀይለኛ	
powerless 	adj	ዓቕማ ዘይብሉ	አቅመቢስ	
practicable 	adj	ኣብ ስራህ ክውዕል ዝኽእል	ሥራ ላይ ሊውል የሚችል	
practical 	adj	ኩነታት ሪኡ ዝሰርህ፣ ግብራዊ	ሁኔታንአይቶ የሚሠራ፣ ተገቢ፣ ተግባራዊ	
practically 	adv	ብተግባር ከምዝትዕም፣ ገይሩ	በተግባር	
pracitice 	v	ፈጠራ፣ ተለማሚዱ	ፈጠራ ተለማመደ	
practice 	n	ተግባር፣ ልምዲ፣ ልምምድ ሥራሕ	ምግባር፣ ልማድ፣ ልምምድ፣ ስራ 	
practiced 	adj_	ስልጡን	ሥልጡን 	
pragmatic 	adj	ብእምነቱ እንተይኮነስ ብኩነታት ዝሰርህ	በእምነቱ ሣይሆን እንደ ሁኔታው የሚሠራ	
prairie 	n	ና ሰሜን አሜሪካ ናይ ላፅሪ ምድሪ	የሰሜን አሜሪካ የሣር ምድር	
praise 	n	ምስጋና	ምስጋና	
praise worthy 	adj	ምስጋና ዝግበኦ	ማስጋና የሚገባው	
prance 	v	ዓንዲሩ	ፈነጨ	
prank 	n	ቀልዲ፣ ባጭ	ቀልድ	
prate 	v	ምቅብጣር	መቀባጠር	
prattle 	n	ሃተፍተፍ	ልፍለፋ	
pray 	v	ለሚኑ፣ ዐሊዩ	ለመነ ፀለየ	
pray 	vi	በካኻ፣ በይዛኻ	እባክህ	
prayer 	n	ምፅላይ፣ፀሎት	መፀለይ ፀሎት	
preach 	v	ኣተሓሳሲቡ፣ ሰቢኹ	አሳሠበ፣ ሠበከ	
preacher 	n	ሰባኺ	ሰባኪ	
preaqmble 	n	መእተዊ	መግቢያ	
precarious 	adj	ዘየተኦማምን፣ ሓደገኛ	የማያስተማምን፣ አደገኛ	
precaution 	n	መጠንቐቒ፣ ጥንቃቀ	ማስጠንቀቂያ፣ ጥንቃቄ	
precede	v	በሊዑ፣ቀዲሙ፣ ኣቐዲሙ	በለጠ፣ ቀደመ፣ አሥቀድሞ	
precedence 	n	ቅድሚያ	ቅድሚያ	
precedent 	n	ምሳሌ ዘርኢ	የሚያሳይ ምሳል	
preceding	adj	ዝሓለፈ፣ ቐዳሚ	ያለፈ፣ ቀዳሚ	
precept 	n	መመምርሒ፣ ምኽሪ	መመሪያ ፣ምክር	
precinct (n)		ቀበለ፣ ክልል	ቀበሌ፣ ክልል፣ ቅፅር	
precious 	adj	ብርቂ፣ ዝኸበር፣ ጠቓሚ፣ ዝበለፀ	ብርቅ፣ የከበረ፣ ጠቃሚ፣ የላቀ	
precipice 	n	ገደል፣ ፀድፊ	ገደል	
precipitate 	v	ኣንከባሊሉ፣ ኣስዓቡ	አንከባለለ፣ አስከተለ	
precipitate 	v	ድንገተኛ፣ ብህዑፅ ምውዳቐ	ድንገተኛ፣ በጥድፊያ መውደቅ	
precipitation 	n	ምሕፃፅ፣ ብጣዕሚ ምህፃፅ ምውዳቕ	ችኩልነት፣ ከፍተኛ ጥድፊያ	
precis 	n	ናይማይን በረድን ኩምሪ	የውሃና የበረዶ ክምችት	
precisely 	adv	ጥብቂመ ጥንቁቕ፣ ትኽክለኛ፣ብትሕክል፣ ልክዕ ትኽክለኛነት	ጥብቅ፣ጠንቃቃ፣ትክክለኛ፣ በትክክል፣ ልክ ትክክለኛነት	
preclude 	v	ምክልኻል፣ ምእጋድ	መከለከል፣ ማገድ	
precocious 	adv	ካብ ዕድሚኡ ዝቐደመ ፈላጥ	በእድሜው የቀደመ ብልህ	
precursor 	n	ዘበሥር፣ ቐዳሚ	የሚያበሥር፣ ቀዳሚ	
predate 	vt	አቐዲሙ ምፅሓፍ፣ ቀደም ነይሩ	አስቀድሞ መፃፍ፣ በፊት ነበር	
predatory 	adj	ዝብለዓ እንሰሳት እናሃደነ ዝናበር	ሌሎች እንሰሳትን በማደን የሚኖር	
predecessor 	n	ናይ ወቀደም፣ ቀደም ኣብቦትኡ ዚነበር	የድሮ፣ በፊት በቦታው የነበር	
predestination 	n	ናይ ዓርበዓ መዓልቲ ዕድል	ያርባ ቀን እድል	
predestined 	v	ካብ ፈለማ ዝተዓደለ፣ ሕፁይ	የታደለ፣ የታጨ	
predetermine 	vt	ቻቐዲሙ ወሲኑ	አሠሥቀደሞ ወሠነ	
predicament 	n	ኣሸጋሪ ኹነታት	አሣቸጋሪ ሁኔታ	
predicate 	v	ኣመልኪቱመ ኢሉ አሚሉ	አመለከተ፣ ብሎ አመነ	
predicate 	n	ኣንቀፅ	አንቀፅ	
predict 	v	ተነቢዩ	ተነበየ	
prediction 	n	ትንቢት	ትንቢት	
predominant 	adj	ዝበለፀ፣ በሊፁ ዝረአ	የበለተ፣ በይበልጥ የሚታ	
predominantly 	adv	መብዛሕቶም	አብዛኛዎቹ	
predominate 	v	ብዝበለፀ ተራኢዩ	በይበልጥ ታየ	
preeminence 	n	ብልጫ	ብልጫ	
preempt 	v	ኣቐዲሙ ሒዙ፣ ቐዲሙ ወሰዱ	አስቀድሞ ያዘ፣ ቀድሞ  ወሠደ	
preface 	n	መባእታ	መቅደም	
prefer 	v	ደልዩ፣መሪዑ፣ ፈትዩ	ፈለገ፣ መረጠ፣ ወደደ	
preference 	n	ምርጫ	ምርጫ 	
preferntial 	adj	አድላዊነት (ምድላው)	አድሏዊነት	
prefix 	n	ባእዳዊ መበገሲ (ናይቓላት)	ባዕድ መነሻ (የቃላት)	
pregnancy 	n	ናይ መምጥናስ ጊዜ	የእርግዝና ጊዜ	
pregnat 	adj	ጥንስቲ	ነፍሠጡር፣ እርጉዘረ፣ ክበድ (ለእንሥሣ)	
prejuice 	n	ኣግባብ ዘይብሉ ፅልኢ	አገግባብ የሌለው ጥላቻ	
preliminary 	adj	ናይ ፈላማ ብርኪ	የመጀመሪያ ደረጃ	
prelude 	n	ድሮ፣ መባእታ	ዋዜማ፣ መቅድም	
(be) premature 	adj	ጊዜኡ ከይበፅሐ	ጊዜው ሳይደርስ	
(be) premeditated 	v	ቐዲሙ ዝተሓሰበሉ	ቀደም የታሠበበት	
premier 	n	ቐዳማይ ምኒስተር	ጠቅላይ ሚኒስተር	
premise 	vt	መሠረተት ምሃብ (ናይ ምይይጥ)	መሠረት መጣል (ለውይይት)	
premium 	n	ክብ ዝበለ ግምት፣ ክፍሊት	ከፍተኛ ግምት፣ ጉርሻ፣ ክፍያ	
premonition 	n	ክፉእ ነገር ክመፅእ እዩ ኢልካ ምሕሳብ	ክፉ ነገር ይመጣል ብሎ ማሰብ	
preoccupation 	n	ብሓሳብ፣ ዘህስብ ነገር	መተመድ፣ የሚያሥስብ ነገር	
prepration 	n	ምድላው	ማዘጋጀት፣ ዝግጅት	
preparatory 	adj	ቅድመ ምድላው	ቀዳሚ ዝግጅት	
preparatory school 	n	ተምሃሮ ንዩኒቨርስቲ አዳሉ ውልቂ ካልአይ ብርኪ ቤት ትምህርቲ	ተማሪዎችን ለዩንቨርሲቲ የሚያበቃ የግል ሁለተና ደረጃት/ቤት	
prepare 	vt	ኣዳልዩ፣ ቐሚሙ፣ ሰሪሁ	አሰናዳ፣ አዘጋጀ፣ ቀመመ፣ ሠራ 	
prepared 	adj	ድልዊ፣ ተዳልዩ	ዝግጁ	
preponderant 	adj	ካብ ኩሉ ዝበለፀ	ከሁሉ የበለጠ	
preponderate 	vi	አመዚኑ፣ ካብ ኩሉ በዚሑ	አመዘነ፣ ከሁሉም በዛ	
prepostion 	n	መስተዋድድ	መስተዋድድ	
prepostrous 	adj	ዘይረብህ	የማይረባ	
prerequisite 	adj	ቅድመ ኹነት	ቅድመ ሁኔታ	
prerogative 	n	መሰል፣ ስልጣን	መብት፣ ሥልጣን	
presage 	v	ካም ዝመፅእ ሓቢሩ	እንደሚመጣ ጠቆመ	
presbyter 	n	ቀሺ	ቀሲስ	
prescribe 	v	ኣዚዙ	አዘዘ	
prescription 	n	ናይ ሓኪም ትዕዛዝ፣ መአዘዚ መድሓኒት	የሐኪም ትዕዛዝ፣ የመድሃኒት ማዘዣ 	
presence 	n	ምንባር	መኖር	
present 	v	ኣርኢ፣ ኣቕሪቡ፣ ኣፋሊጡ፣ ሸሊሙ	አሣ፣ አቀረበ፣ አሥተዋወቀ፣ ሸለመ	
present 	n	ኛይ ከዚእዋን፣ ወህብቶ፣ ህያብ፣ ገፀበረኸት	ያሁን ጊዜ፣ ሥጦታ፣ ገፀበረከት	
present 	adj	ናይ ከዚ፣ ኣበት፣ዘለዎ ሕዚ	ያሁኑ፣ አቤት፣ አሁን ያለበት	
